upi_transactions_per_month,bill_payment_on_time_pct,rent_payments_regular,monthly_income_estimate,mobile_recharge_frequency,employment_type,score,risk_tier
79,0.35,1,56971,0,1,535.0113783621583,Medium
1,0.62,1,46862,0,2,470.7368029012912,Medium
91,0.05,1,58410,0,1,490.11559651193005,Medium
31,0.87,1,24503,1,1,540.695774235647,Medium
90,0.97,0,53456,0,0,601.8557296924486,Medium
83,0.97,0,87035,1,0,631.5486581645655,Medium
23,0.75,1,13016,2,1,499.42385485178306,Medium
11,0.13,0,7384,2,1,300.0,High
49,0.76,0,67320,0,0,466.2198358949695,Medium
34,0.02,0,20072,2,2,300.0,High
32,0.02,1,85018,2,2,475.04809593880947,Medium
32,0.32,0,45510,2,2,388.86033915914186,High
60,0.49,1,53933,0,2,546.8278386456752,Medium
50,0.77,0,26826,0,2,511.05568394396835,Medium
42,0.68,1,73026,2,2,700.0040988559425,Low
11,0.45,0,30518,1,2,326.34857583085756,High
66,0.27,1,29045,2,2,522.2281025208786,Medium
64,1.0,1,55876,0,0,663.3872279132298,Low
32,0.43,0,97446,0,2,482.3296153937752,Medium
39,0.45,1,95102,0,2,596.4602372441765,Medium
73,0.16,1,56919,2,2,552.2120658635388,Medium
42,0.79,1,32103,1,1,544.7061537236248,Medium
43,0.69,1,41188,0,0,499.0424762088631,Medium
28,0.22,1,10845,0,0,300.0,High
12,0.08,1,91698,2,0,371.692111944253,High
11,0.68,1,41674,1,2,567.4468465843623,Medium
94,0.65,1,24337,2,2,681.9262116741979,Low
45,0.27,0,27313,0,1,300.0,High
1,0.95,0,31943,1,0,409.09027609628816,High
34,0.15,1,82949,1,2,505.9964680859274,Medium
86,0.43,1,5276,0,0,404.99316159465286,High
80,0.94,0,56151,1,1,650.3236192757637,Low
89,0.42,0,22611,1,1,407.022943259275,High
7,0.64,0,16944,2,1,372.82922755680863,High
92,0.4,1,57887,0,0,522.6301878488516,Medium
25,0.27,0,86442,0,2,392.3289898369165,High
73,0.98,1,54847,0,2,737.6106479336829,Low
89,0.41,1,63653,0,1,550.6367497634327,Medium
33,0.89,0,91072,0,2,604.4205566675203,Medium
6,0.23,1,61622,1,1,378.963244760112,High
67,0.21,1,32810,2,0,401.39412936577037,High
57,0.03,1,82842,0,1,437.77470047741986,High
74,0.65,1,15503,2,0,543.4643416905099,Medium
28,0.37,0,89761,2,1,452.2525572800116,Medium
35,0.86,0,41976,1,2,555.2065165303853,Medium
88,0.47,1,16590,0,2,534.0372003404134,Medium
20,0.97,1,15886,1,1,562.8396552843988,Medium
35,0.19,0,17866,0,2,300.0,High
9,0.87,1,71624,1,2,683.153143395095,Low
72,0.78,0,73899,2,2,734.0823462447746,Low
23,0.77,1,37792,0,0,443.17912815393436,High
63,0.84,1,14764,2,2,658.9467224619708,Low
98,0.76,0,91156,2,0,661.3871575610257,Low
48,0.63,0,47727,1,1,472.3680450035103,Medium
98,0.13,0,83471,0,2,528.4613994095018,Medium
35,0.03,0,13068,2,2,300.0,High
81,0.92,1,12295,1,2,700.2148853295615,Low
95,0.62,0,46160,0,1,515.6014542028846,Medium
23,0.8,1,16390,0,0,431.14218205081175,High
22,0.48,0,25131,2,0,328.4511538681538,High
61,0.12,0,99754,0,2,452.7014352513397,Medium
95,0.13,1,80969,2,1,567.5406466665254,Medium
36,0.69,0,20038,0,1,383.9540335376059,High
11,0.43,0,57327,1,1,328.99989562789096,High
54,0.2,0,98718,2,1,472.57368526072446,Medium
12,0.49,0,82064,2,1,460.86861673743226,Medium
22,0.06,1,26281,0,0,300.0,High
88,0.58,1,59189,0,0,566.3435994889392,Medium
98,0.27,0,53511,2,0,432.5043657508336,High
29,0.8,0,13605,0,2,367.2121243945,High
16,0.31,0,6381,1,1,300.0,High
61,0.46,1,71634,0,2,598.2089660154847,Medium
83,0.01,1,24810,1,1,428.8867255671145,High
88,0.07,1,29322,1,0,393.6045605992374,High
85,0.39,1,46869,1,2,599.9154925493032,Medium
12,0.48,0,37955,1,0,300.0,High
58,0.6,0,66388,1,1,531.7985881191638,Medium
18,0.29,0,15207,0,1,300.0,High
48,0.69,1,92329,1,1,691.5308973114645,Low
99,0.86,0,72628,0,0,590.149838892279,Medium
11,0.78,1,33220,1,1,505.63295538815805,Medium
60,0.04,1,89050,2,0,481.52816775437566,Medium
18,0.48,0,79085,1,2,483.86563168028374,Medium
75,0.1,0,27031,2,1,356.4924369723178,High
8,0.24,0,75721,1,1,312.7888563887366,High
70,0.99,1,85807,1,1,810.4879528138289,Low
27,0.14,1,76312,1,2,476.1354535378716,Medium
77,0.5,0,64766,2,1,532.1514527544962,Medium
94,0.62,0,17449,2,0,457.8112406537334,Medium
51,0.7,1,94833,1,0,670.4657678295266,Low
82,0.56,0,61699,0,1,490.55833143816113,Medium
15,0.01,1,86253,1,1,411.3387045352089,High
68,0.33,1,51092,2,2,574.4746660837966,Medium
98,0.52,0,68671,1,2,629.1001089014837,Medium
11,0.09,0,15350,2,2,300.0,High
24,0.35,0,73487,2,1,442.39853759452456,High
51,0.03,0,22622,2,2,303.1559620966297,High
84,0.08,1,75263,1,2,553.9127156407924,Medium
99,0.4,1,58117,2,0,591.9037924330604,Medium
52,0.13,1,63394,2,2,563.084036584809,Medium
22,0.57,0,28782,1,0,300.0,High
15,0.69,1,33454,2,0,412.139667355916,High
56,0.8,0,72904,1,2,629.0033567474657,Medium
38,0.2,0,20592,2,0,300.0,High
52,0.17,0,27173,0,1,300.0,High
41,0.1,0,38204,0,1,300.0,High
57,0.64,0,40596,2,2,526.4737802997508,Medium
38,0.71,0,39324,0,1,414.71682928616644,High
13,0.03,1,66202,1,0,312.45764630572114,High
94,0.94,0,94400,0,1,685.0506919652312,Low
4,0.05,1,35750,2,2,358.1302666301511,High
34,0.54,1,81112,2,2,676.5234702258447,Low
86,0.71,0,21566,1,0,467.610681984227,Medium
92,0.87,0,12190,2,2,614.9674788481847,Medium
74,0.71,0,93607,1,1,658.5883670543358,Low
17,0.8,1,43333,0,2,573.8338502384497,Medium
75,0.34,0,85905,0,0,386.60104000151387,High
8,0.81,1,94571,1,2,695.4268722946846,Low
73,0.08,0,6589,1,1,300.0,High
57,0.89,0,30235,2,0,505.4012709528493,Medium
16,0.55,1,5159,0,1,377.4780800858652,High
6,0.82,1,17145,1,0,411.29790830670333,High
45,0.45,0,85909,0,2,463.9061477191637,Medium
12,0.64,1,36921,1,0,449.9529038381165,High
39,0.53,1,21237,0,0,402.76566942403895,High
41,0.73,1,13244,2,2,585.7428797363411,Medium
8,0.08,1,19743,0,1,300.0,High
49,0.06,1,51101,0,2,410.8142653587263,High
26,0.25,0,89227,0,0,307.393403535217,High
65,0.16,0,61378,0,2,397.8702411472652,High
4,0.87,1,76126,0,0,514.6731182928539,Medium
28,0.22,0,61071,2,2,411.3280516017151,High
36,0.98,0,76121,1,2,624.0784235270881,Medium
37,0.34,1,79763,0,1,480.49438338468843,Medium
82,0.18,0,98814,2,0,481.91758944966807,Medium
7,0.79,1,17237,0,1,472.2360141592327,Medium
64,0.66,1,20649,0,0,443.9473156937461,High
85,0.5,0,42713,1,2,545.8370611546485,Medium
16,0.56,1,78463,0,0,469.5289755285572,Medium
70,0.72,1,50409,2,1,629.2836253863452,Medium
88,0.23,1,53766,2,1,570.7426402881849,Medium
44,1.0,1,51154,1,1,687.9137015796756,Low
3,0.97,1,12016,0,0,432.8050535876487,High
35,0.65,0,84563,2,1,542.4474549025465,Medium
69,0.2,0,53688,0,1,362.04080073044855,High
30,0.68,1,94678,0,1,606.7528939449805,Medium
18,0.07,1,59238,0,2,341.6868532336961,High
60,0.03,0,63608,1,2,390.08240649508934,High
53,0.26,1,94081,0,0,464.8205918803666,Medium
38,0.46,0,36897,2,0,333.6975565800403,High
90,0.87,1,55961,0,1,752.6213990717331,Low
73,0.73,1,73703,2,2,797.4583143923911,Low
89,0.74,1,49757,0,1,626.5105587937122,Medium
18,0.43,1,31917,2,1,445.7667239313168,High
38,0.35,1,27736,2,2,525.6325055112865,Medium
66,0.37,1,32990,0,2,479.05601691848,Medium
44,0.99,1,67551,0,2,721.641662828143,Low
12,0.04,0,63161,2,0,300.0,High
91,0.87,0,84623,1,0,616.7561423500196,Medium
57,0.58,0,27440,0,1,400.4710060922446,High
19,0.44,1,40205,1,0,402.7349278103625,High
91,0.73,1,85811,0,2,802.7829518283831,Low
71,0.49,1,60103,0,2,604.2187179674811,Medium
60,0.87,1,75812,0,0,682.6569007027023,Low
38,0.9,1,46627,0,1,548.0946649320649,Medium
0,0.42,1,24008,1,1,361.14033419628925,High
2,0.28,1,76274,0,0,312.3021136014029,High
76,0.59,0,37402,2,1,515.607652749938,Medium
91,0.91,1,58384,2,1,771.3298649978994,Low
61,0.21,0,10793,1,1,300.0,High
62,0.62,0,10571,0,2,428.6043857179561,High
24,0.63,1,21209,2,2,522.8983164394697,Medium
55,0.73,1,95930,1,0,635.6541810487204,Medium
32,0.13,0,48148,0,2,337.94518994899107,High
37,0.72,0,96218,2,1,601.3064747692483,Medium
5,0.91,1,7224,2,2,523.4054258692322,Medium
57,0.18,1,53695,1,0,416.4057547023353,High
43,0.24,0,37441,0,2,328.98846675284005,High
44,0.97,1,44129,0,1,617.3500217419428,Medium
31,0.18,1,67368,2,1,477.1337630796359,Medium
44,0.85,1,97122,2,0,720.9085434742569,Low
60,0.49,0,49760,2,2,509.3437454415862,Medium
46,0.25,0,28478,0,2,323.36116691689233,High
20,0.87,0,76854,1,2,573.7857799452286,Medium
79,0.45,1,99230,1,1,683.3972436214852,Low
84,0.51,1,90716,0,0,597.7859101252766,Medium
74,0.36,0,17180,1,2,420.9450295940375,High
35,0.59,0,20372,2,1,392.3384647797967,High
98,0.16,0,34796,1,1,391.46960968861333,High
18,0.39,1,63272,1,1,493.6370201185627,Medium
19,0.97,0,94963,1,2,696.7413232953544,Low
56,0.26,0,98635,2,2,554.8118418748495,Medium
17,0.66,1,59040,0,2,548.0806044036618,Medium
46,0.33,1,80357,2,2,579.8012647822063,Medium
48,0.77,1,76368,0,2,664.5276360037725,Low
13,0.13,0,83356,0,2,329.17727928428184,High
14,0.97,1,21211,0,2,547.1207355872515,Medium
30,0.45,1,10842,1,2,434.4859847425616,High
0,0.24,0,68115,1,2,369.73778948112334,High
53,0.07,1,71852,0,1,421.27981627476964,High
2,0.17,0,50968,0,2,300.0,High
15,0.52,0,22508,1,0,300.0,High
86,0.34,1,27005,2,1,561.5608944953917,Medium
56,0.83,1,59575,0,2,675.8984274402286,Low
74,0.43,1,85742,2,0,598.0667266969829,Medium
11,0.25,1,23971,1,2,343.32698365381117,High
73,0.62,1,30599,0,0,491.97596172497265,Medium
95,0.71,1,92592,2,0,737.1428399644519,Low
15,0.17,0,71914,2,0,318.51959492033797,High
71,0.17,0,72055,2,0,433.98797384003905,High
75,0.04,1,92697,1,1,502.6883901046745,Medium
23,0.74,0,10355,1,1,346.26693524238004,High
27,0.66,1,59120,2,0,524.7136072974711,Medium
7,0.47,0,79619,2,2,457.9172420921146,Medium
91,0.84,0,43342,1,0,555.0323315137342,Medium
35,0.81,0,90992,2,1,598.4515302182887,Medium
89,0.59,1,83860,2,2,788.3306468111052,Low
7,0.87,0,7257,1,1,389.8358704329394,High
57,0.21,1,32364,2,1,430.44356979328984,High
59,0.11,0,29972,2,2,390.848224449548,High
49,0.27,0,31654,2,0,300.0,High
27,0.06,0,85769,1,0,316.5076569829755,High
91,0.53,0,86423,2,0,606.2655193249877,Medium
40,0.94,0,34320,1,0,458.3783932822753,Medium
99,0.04,1,25808,1,2,472.34433110939915,Medium
63,0.12,1,57389,0,2,453.6806804065084,Medium
26,0.45,0,39773,0,2,384.0185700414906,High
62,0.93,0,56168,2,1,624.72794466939,Medium
16,0.32,0,32747,1,2,342.0313377150392,High
72,0.51,0,81396,0,0,503.8765793859128,Medium
32,0.04,1,88692,2,1,447.9763412256775,High
83,0.15,0,62505,0,0,311.4072351248382,High
76,0.99,1,90896,0,0,734.6432046906525,Low
91,0.97,0,23135,1,2,672.1651922290459,Low
28,0.0,1,95887,1,2,458.9647942042849,Medium
12,0.95,0,52377,0,0,414.44649477518493,High
45,0.64,0,28554,0,0,366.5088732234198,High
34,0.87,1,67491,1,1,611.3244432301925,Medium
5,0.45,0,60621,2,2,430.948359228782,High
81,0.52,0,63283,1,1,513.7639381280244,Medium
68,0.49,0,90140,0,1,515.763131819426,Medium
46,0.67,1,21923,2,1,561.0416858116738,Medium
24,0.14,0,52591,0,0,300.0,High
65,0.03,0,67261,2,1,363.3175519577629,High
9,0.31,1,59336,0,1,369.64707723533047,High
55,0.7,1,79083,2,0,666.6978596064893,Low
29,0.2,1,65948,2,2,516.4746578784819,Medium
4,0.67,0,38002,0,2,401.810382551697,High
32,0.97,0,85098,2,1,640.2019062036609,Medium
64,0.09,0,78016,1,0,357.21432136483844,High
17,0.67,1,31672,0,2,490.4210782012536,Medium
95,0.44,0,9213,1,1,405.0757670646513,High
48,0.87,0,15293,0,1,452.85995431696097,Medium
10,0.18,1,60860,2,0,378.26748020891114,High
84,0.69,1,67507,2,1,701.7283737840671,Low
25,0.84,1,62134,2,2,674.7491037715255,Low
62,0.94,1,7100,0,0,516.9354714353819,Medium
88,0.68,1,66997,1,2,776.390492099653,Low
85,0.5,0,33172,1,2,527.6067091033652,Medium
58,0.62,1,25132,0,2,525.7822634026822,Medium
26,0.87,0,23199,0,1,407.53834416821,High
48,0.57,0,41609,1,1,425.30042488499134,High
76,0.03,1,47965,1,2,463.4646088799214,Medium
32,0.93,1,13016,1,2,596.9361616621054,Medium
97,0.69,1,44779,1,0,614.7572512078725,Medium
98,0.68,0,36881,0,0,466.52934952765685,Medium
0,0.22,1,87594,0,1,383.04037265236377,High
20,0.66,1,29472,2,1,536.3718709669761,Medium
54,0.39,1,56813,1,0,461.35193767798967,Medium
5,0.65,1,41021,2,2,548.0354211260053,Medium
91,0.11,1,59131,0,1,482.0867057544654,Medium
80,0.66,0,29087,0,2,506.0736629926533,Medium
68,1.0,0,17828,2,0,533.2460946473539,Medium
94,0.05,0,66610,1,1,417.5270119219553,High
4,0.98,1,6401,1,1,496.39713053798437,Medium
2,0.41,1,90179,1,0,420.1733371580716,High
52,0.87,1,20193,1,1,581.2635098549472,Medium
22,0.78,0,97389,2,0,547.9844375069972,Medium
52,0.57,1,49864,2,1,581.1316673723993,Medium
36,0.74,1,25307,0,0,447.84963825202516,High
73,0.88,1,24611,1,1,642.5627400145271,Medium
73,0.4,0,48791,1,2,501.9299026146783,Medium
82,0.33,1,16950,1,2,538.0730183002762,Medium
16,0.67,0,81240,2,2,551.9969878050156,Medium
84,0.81,1,82403,1,1,737.5792939381581,Low
77,0.76,0,7745,2,1,483.1156934265025,Medium
72,0.8,0,60243,1,2,654.8397282547272,Low
0,0.44,0,8866,1,2,300.0,High
50,0.82,1,37245,0,0,533.4772936867505,Medium
44,0.12,1,49724,1,0,369.67207055725345,High
76,0.54,0,76354,1,0,493.4768803274822,Medium
3,0.01,0,56374,0,2,300.0,High
61,0.32,1,35116,2,2,528.6238518040392,Medium
64,0.37,1,86029,2,2,649.27100006829,Low
31,0.4,0,98574,1,0,433.39117377100666,High
33,0.7,1,25447,2,1,527.031102884917,Medium
91,0.39,1,35431,1,2,620.9591813842177,Medium
94,0.45,1,22908,0,1,515.078283392387,Medium
71,0.24,1,34336,0,1,419.14717583515153,High
38,0.37,0,45992,1,1,337.09670404899714,High
25,0.23,1,60350,0,0,327.936912860245,High
33,0.07,1,74561,0,1,414.4867756581258,High
53,0.6,0,56955,1,2,508.2257984044037,Medium
2,0.67,0,66240,1,0,409.81493642959305,High
49,0.62,1,25093,0,2,517.373851450607,Medium
11,0.46,1,11155,2,2,457.30899941302494,Medium
64,0.38,1,51607,2,0,502.30897411490025,Medium
53,0.86,1,38487,1,2,664.5628083494763,Low
4,0.52,0,60668,1,2,389.9075844574973,High
93,0.48,0,25963,2,0,439.9581403449752,High
93,0.03,0,55124,0,2,382.0822800726799,High
56,0.34,1,57870,2,1,506.1084580046512,Medium
16,0.38,1,61547,2,2,531.485973564349,Medium
46,0.4,1,69110,2,1,547.511537863285,Medium
22,0.58,1,58554,2,2,628.7949703224996,Medium
78,0.53,0,25936,1,0,416.87243430185646,High
84,0.61,0,9426,1,0,433.8006436267354,High
13,0.76,1,93839,0,2,628.060341909842,Medium
65,0.81,0,32606,0,0,440.9347548026257,High
74,0.72,1,52832,0,2,617.2505808063789,Medium
50,0.96,1,33151,0,0,548.6659523862655,Medium
37,0.02,0,84303,2,1,360.5759669604936,High
63,0.2,1,16308,1,2,451.69696155403545,Medium
97,0.01,1,67522,1,1,511.19663178916653,Medium
37,0.65,0,50671,0,1,421.6738514350333,High
49,0.9,1,95306,0,2,704.3471473167317,Low
97,0.24,1,99108,2,1,679.3404367216395,Low
81,0.93,0,7204,2,2,625.0767978386008,Medium
29,0.06,1,97769,0,1,448.298508052577,High
78,0.93,0,92265,1,2,756.9047611855386,Low
90,0.35,1,36131,1,2,584.6472586657352,Medium
50,0.1,0,57428,1,0,300.0,High
62,0.49,0,38870,0,2,401.59331550801045,High
97,0.26,0,54067,1,2,499.83502938745715,Medium
51,0.28,1,63585,2,1,507.85380039882585,Medium
37,0.31,0,26607,2,2,379.5235640033738,High
96,0.8,0,29968,0,0,447.96214375541666,High
87,0.54,0,16908,2,1,506.2087132448744,Medium
78,0.31,0,31423,0,1,356.8498020063151,High
29,0.61,0,79707,1,0,436.78993382317867,High
50,0.72,1,83257,1,1,666.9758245011978,Low
80,0.27,1,66215,1,1,578.6797978975391,Medium
4,0.41,1,60835,2,1,425.4309973025191,High
28,0.12,1,54429,0,1,353.1044233093962,High
3,0.18,1,87152,1,0,387.2275652140972,High
9,0.68,1,43458,0,0,406.9562710655862,High
55,0.18,1,51169,1,1,427.31261213723394,High
16,0.53,0,12659,2,1,314.24019768688424,High
73,0.71,1,65614,2,0,642.369159963872,Medium
16,0.11,0,82240,0,0,300.0,High
83,0.57,0,37793,2,0,469.52977765865285,Medium
87,0.26,1,51473,2,1,595.1109480637001,Medium
68,0.96,0,94388,0,1,650.8287046892505,Low
33,0.48,0,93330,1,2,516.90652051442,Medium
5,0.81,0,60751,2,0,443.69761168100626,High
52,0.55,0,83915,0,1,483.33359272072255,Medium
65,0.04,1,59254,2,0,393.92429733310234,High
76,0.63,1,12006,2,1,573.7882312444195,Medium
42,0.95,1,79218,2,0,685.4581713520615,Low
74,0.6,1,70344,2,1,698.2015669087631,Low
22,0.82,1,38840,0,2,548.2369520359468,Medium
54,0.88,1,37430,0,2,666.5063896551089,Low
79,0.23,1,28091,0,0,381.22538375800116,High
94,0.21,1,37983,2,1,514.8071665817001,Medium
74,0.61,1,28989,2,1,572.8024337584615,Medium
15,0.41,1,80451,2,0,512.5897705581706,Medium
7,0.84,0,23990,0,1,360.7816795432912,High
3,0.9,1,95270,2,0,645.2700823346097,Medium
3,0.35,0,85360,1,1,327.55761210783743,High
55,0.24,0,41081,2,0,376.91589775927804,High
24,0.78,0,16033,1,1,411.9308925673426,High
66,0.27,0,21241,2,0,310.3731957168958,High
95,0.82,1,10939,0,1,601.7546828428898,Medium
66,0.42,0,52562,2,2,537.81596256606,Medium
26,0.67,1,40063,1,1,526.669633734501,Medium
92,0.1,1,81721,1,0,511.09258560794876,Medium
31,0.62,0,32045,2,2,472.30757516404464,Medium
49,0.45,1,49769,1,1,523.7593416805183,Medium
60,0.59,0,52118,1,2,496.40192893839645,Medium
50,0.17,0,89703,0,1,372.980505747715,High
18,0.74,1,26625,2,2,538.3127228341431,Medium
20,0.86,1,32076,2,0,534.2438468940502,Medium
4,0.22,0,69805,2,1,310.09372057933365,High
81,0.1,1,49605,1,1,439.7784384264164,High
91,0.02,1,89565,2,0,511.2542695196206,Medium
41,0.64,1,93509,2,2,724.0051240293158,Low
60,0.61,0,44121,0,0,387.1374323488838,High
21,0.55,0,70101,0,0,323.73886881934453,High
20,0.23,1,36433,0,2,347.7686279653877,High
69,0.39,1,48309,1,0,483.09665574061006,Medium
0,0.59,1,72468,2,1,520.3206378649908,Medium
4,0.5,1,49254,0,1,401.34638580271894,High
11,0.99,1,72293,0,1,610.392296250234,Medium
89,0.14,0,42853,0,0,314.30731374350637,High
45,0.7,1,43405,2,1,613.7489300353982,Medium
33,0.4,0,71652,2,1,442.2341840191688,High
48,0.43,1,48527,2,1,525.6447490048071,Medium
77,0.72,0,82227,1,1,614.949270761916,Medium
89,0.69,1,5492,1,1,569.1992606548075,Medium
44,0.99,0,98418,0,1,598.9849329273376,Medium
26,0.13,1,13811,2,0,300.4609234257915,High
72,0.1,0,98344,0,1,438.75677724975606,High
25,0.72,0,29272,2,1,474.3106798716119,Medium
46,0.58,0,98935,2,2,669.4799861295521,Low
85,0.27,0,77010,2,0,441.4995973549448,High
55,0.08,0,97492,1,0,352.2760015924235,High
93,0.09,0,52153,1,0,397.5367919374028,High
62,0.89,1,59110,2,0,668.4089876883553,Low
47,0.19,0,18979,0,1,300.0,High
60,0.32,1,33328,2,1,462.23340096610843,Medium
80,0.23,1,17867,2,2,527.7397726315354,Medium
25,0.35,1,64234,0,2,522.1068074951818,Medium
35,0.07,1,30851,2,0,338.43451620207054,High
0,0.52,1,36279,0,2,416.3583075696291,High
7,0.07,0,78402,1,2,313.87767266863165,High
98,0.8,0,20449,1,0,484.27999415011476,Medium
51,0.23,0,81221,0,0,316.41873719500586,High
78,0.54,1,94080,1,2,697.9557614242706,Low
46,0.88,0,10451,1,1,455.2056065068051,Medium
55,0.65,0,92178,0,2,619.5582135986082,Medium
85,0.53,0,46316,1,2,558.7406384818751,Medium
13,0.32,0,68064,2,1,395.4527797993146,High
89,0.33,0,68761,2,1,545.9869880185199,Medium
27,0.67,1,43870,0,0,431.80383820854746,High
86,0.99,0,35873,1,0,555.555866771871,Medium
77,0.66,1,63627,2,2,724.8303088629709,Low
87,0.56,1,71155,2,1,659.9687610311589,Low
1,0.73,1,30372,1,0,412.39060465591155,High
25,0.47,1,8642,1,2,380.1947120684583,High
13,0.06,1,33001,2,1,331.83031018572774,High
58,0.56,0,39064,2,2,523.5656187143775,Medium
55,0.96,0,99826,0,0,607.0807973298969,Medium
6,0.18,0,19122,0,0,300.0,High
2,0.69,1,29820,2,1,484.61589176677705,Medium
22,0.2,0,73431,0,2,383.4934347530951,High
17,0.54,0,60745,2,1,439.9289162190442,High
37,0.1,1,55081,2,0,359.01946306367904,High
98,0.45,1,75902,0,0,578.0497791570824,Medium
14,0.76,1,13711,0,2,438.1961794649973,High
63,0.35,1,90132,1,2,623.2201911905566,Medium
88,0.66,0,23793,1,2,543.9660718813321,Medium
27,0.8,1,13199,1,1,511.3234721911533,Medium
73,0.93,1,81253,2,2,832.4987794291637,Low
38,0.23,0,41191,0,2,302.4567197213114,High
56,0.4,0,15211,2,0,300.0,High
16,0.15,1,68069,0,0,301.20964962813366,High
85,0.99,0,93896,2,2,850.0,Low
89,0.93,1,61746,1,2,815.9141406979406,Low
43,0.54,1,26542,1,0,449.87558824710356,High
24,0.84,0,36312,1,2,484.62291534671505,Medium
16,0.52,0,50242,2,1,367.0150047979556,High
12,0.62,1,98783,0,1,533.1444507182387,Medium
83,0.09,1,92893,0,1,526.8433778168474,Medium
24,0.76,1,60388,1,2,586.8934231304149,Medium
67,0.13,0,32691,1,0,300.0,High
9,0.83,1,82960,1,2,651.1927862805741,Low
66,0.78,1,89388,1,2,748.3574938787341,Low
17,0.71,1,27601,0,0,359.72833965350344,High
99,0.04,1,23020,2,0,421.8330739641952,High
85,0.3,1,13155,2,0,447.2274288976913,High
